,Tweets,new,tidy_text,tok,nouns,clean_tweet,is_retweet,retweeted,mentioned,hashtags,cluster
53,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,Delhi requests Centre Govt #cancelcbseboardexams amid fears exam centres becoming Covid hots,"['Delhi', 'requests', 'Centre', 'Govt', '#', 'cancelcbseboardexams', 'amid', 'fears', 'exam', 'centres', 'becoming', 'Covid', 'hots']","['Delhi', 'requests', 'Centre', 'Govt', 'cancelcbseboardexams', 'fears', 'centres', 'Covid', 'hots']", delhi cm request centr govt #cancelcbseboardexams amid fear exam centr becom covid hots…,True,['@nidhiindiatv'],['@ArvindKejriwal'],['#cancelcbseboardexams2021'],0
59,RT @GauriDesaiAAP: Thanks https://t.co/vFmrgawuPp,RT @GauriDesaiAAP: Thanks ,Thanks,['Thanks'],['Thanks'], thank ,True,['@GauriDesaiAAP'],[],[],0
66,RT @Aakib01630353: CBSE is thinking that after boards exam brilliant students can only pass and get addmission in good colleges but what if…,RT @Aakib01630353: CBSE is thinking that after boards exam brilliant students can only pass and get addmission in good colleges but what if…,CBSE thinking that after boards exam brilliant students only pass addmission good colleges what,"['CBSE', 'thinking', 'that', 'after', 'boards', 'exam', 'brilliant', 'students', 'only', 'pass', 'addmission', 'good', 'colleges', 'what']","['CBSE', 'thinking', 'boards', 'students', 'addmission', 'colleges']", cbse think board exam brilliant student pass get addmiss good colleg if…,True,['@Aakib01630353'],[],[],0
73,"RT @Pooja11080795: One of my friends is suffering from covid, she was preparing for this exam for last two year, she is fighting two battle…","RT @Pooja11080795: One of my friends is suffering from covid, she was preparing for this exam for last two year, she is fighting two battle…",friends suffering from covid preparing this exam last year fighting battle,"['friends', 'suffering', 'from', 'covid', 'preparing', 'this', 'exam', 'last', 'year', 'fighting', 'battle']","['friends', 'exam', 'year', 'battle']", one friend suffer covid prepar exam last two year fight two battle…,True,['@Pooja11080795'],[],[],0
87,"RT @divyaSi5087164: #cancelboardexam2021 
#internalassessment 
@SonuSood Amazing full from I've ever seen thank-you for supporting","RT @divyaSi5087164: #cancelboardexam2021 
#internalassessment 
@SonuSood Amazing full from I've ever seen thank-you for supporting",#cancelboardexam #internalassessment Amazing full from ever seen thank supporting,"['#', 'cancelboardexam', '#', 'internalassessment', 'Amazing', 'full', 'from', 'ever', 'seen', 'thank', 'supporting']","['cancelboardexam', 'internalassessment', 'Amazing', 'thank']", #cancelboardexam #internalassessment amaz full ever seen thank support,True,['@divyaSi5087164'],['@SonuSood'],"['#cancelboardexam2021', '#internalassessment']",0
103,"RT @Sambannz: Over 120 land rights defenders, lawyers representing PAPs and PAPs' leaders have been arbitrarily arrested by security forces…","RT @Sambannz: Over 120 land rights defenders, lawyers representing PAPs and PAPs' leaders have been arbitrarily arrested by security forces…",Over land rights defenders lawyers representing PAPs PAPs leaders have been arbitrarily arrested security forces,"['Over', 'land', 'rights', 'defenders', 'lawyers', 'representing', 'PAPs', 'PAPs', 'leaders', 'have', 'been', 'arbitrarily', 'arrested', 'security', 'forces']","['land', 'rights', 'defenders', 'lawyers', 'PAPs', 'PAPs', 'leaders', 'security', 'forces']",  land right defend lawyer repres pap pap leader arbitrarili arrest secur forces…,True,['@Sambannz'],[],[],0
112,"RT @nidhiindiatv: Actor @SonuSood yet again backs students’ demands to #cancelboardexams2021

“Don't let the exam centres become COVID hots…","RT @nidhiindiatv: Actor @SonuSood yet again backs students’ demands to #cancelboardexams2021

“Don't let the exam centres become COVID hots…",Actor again backs students demands #cancelboardexams exam centres become COVID hots,"['Actor', 'again', 'backs', 'students', 'demands', '#', 'cancelboardexams', 'exam', 'centres', 'become', 'COVID', 'hots']","['Actor', 'students', 'demands', 'cancelboardexams', 'COVID', 'hots']", actor yet back students’ demand #cancelboardexams “don let exam centr becom covid hots…,True,['@nidhiindiatv'],['@SonuSood'],['#cancelboardexams2021'],0
125,"RT @somyalakhani: ""IE walked through an area of 10 km — from #Haridwar railway station to Har ki Pauri &amp; ghats. There were no arrangements…","RT @somyalakhani: ""IE walked through an area of 10 km — from #Haridwar railway station to Har ki Pauri &amp; ghats. There were no arrangements…",walked through area from #Haridwar railway station Pauri ghats There were arrangements,"['walked', 'through', 'area', 'from', '#', 'Haridwar', 'railway', 'station', 'Pauri', 'ghats', 'There', 'were', 'arrangements']","['area', 'Haridwar', 'railway', 'station', 'Pauri', 'ghats', 'arrangements']", ie walk area  km — #haridwar railway station har ki pauri amp ghat arrangements…,True,['@somyalakhani'],[],['#Haridwar'],0
126,"RT @nidhiindiatv: Actor @SonuSood yet again backs students’ demands to #cancelboardexams2021

“Don't let the exam centres become COVID hots…","RT @nidhiindiatv: Actor @SonuSood yet again backs students’ demands to #cancelboardexams2021

“Don't let the exam centres become COVID hots…",Actor again backs students demands #cancelboardexams exam centres become COVID hots,"['Actor', 'again', 'backs', 'students', 'demands', '#', 'cancelboardexams', 'exam', 'centres', 'become', 'COVID', 'hots']","['Actor', 'students', 'demands', 'cancelboardexams', 'COVID', 'hots']", actor yet back students’ demand #cancelboardexams “don let exam centr becom covid hots…,True,['@nidhiindiatv'],['@SonuSood'],['#cancelboardexams2021'],0
127,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,RT @nidhiindiatv: Delhi CM @ArvindKejriwal requests Centre Govt to #cancelcbseboardexams2021 amid fears of exam centres becoming Covid hots…,Delhi requests Centre Govt #cancelcbseboardexams amid fears exam centres becoming Covid hots,"['Delhi', 'requests', 'Centre', 'Govt', '#', 'cancelcbseboardexams', 'amid', 'fears', 'exam', 'centres', 'becoming', 'Covid', 'hots']","['Delhi', 'requests', 'Centre', 'Govt', 'cancelcbseboardexams', 'fears', 'centres', 'Covid', 'hots']", delhi cm request centr govt #cancelcbseboardexams amid fear exam centr becom covid hots…,True,['@nidhiindiatv'],['@ArvindKejriwal'],['#cancelcbseboardexams2021'],0
